IdVenta,IdCliente,IdProducto,Cantidad,PrecioUnitario,FechaVenta,Sucursal
3156,394,441,3,17212.74,2024-04-18,Puebla
61,53250,263,6,5237.94,2026-04-26,Puebla
3583,469,142,4,16583.26,2026-02-05,Monterrey
3429,733,95,5,1317.51,2023-11-16,Guadalajara
2611,598,119,15,3951.37,2023-07-06,Online
1870,774,396,2,13345.66,2024-10-23,Monterrey
3659,666,7,19,23669.56,2023-10-20,Toluca Centro
4797,658,261,12,3642.58,2025-09-12,Online
2187,310,214,20,24228.85,2023-06-15,Toluca Centro
3463,729,23,20,24124.72,2025-07-09,Metepec
835,54288,323,19,2407.92,2025-05-19,Toluca Centro
329,756,143,16,8585.03,31/31/2025,CDMX Norte
4460,783,214,2,4045.14,2024-04-01,Metepec
768,201,358,6,22452.63,2024-02-10,
4116,281,11,8,23370.5,2023-12-21,CDMX Norte
4621,187,413,3,24181.42,2025-07-28,Toluca Centro
2531,665,17,9,1654.53,2025-03-31,Guadalajara
1207,641,166,9,18875.81,2023-11-05,Metepec
518,728,89178,5,10395.19,2025-02-20,Metepec
1359,668,95,5,19751.78,2023-06-13,Metepec
1860,75,19,13,15036.6,2024-05-16,Metepec
48,639,263,4,19526.9,2025-11-26,
4675,351,366,20,21677.21,2024-04-29,Metepec
2606,13,173,6,9599.44,2023-02-27,CDMX Norte
4499,501,59,10,17839.59,2026-01-24,Online
4452,707,306,4,11448.75,2026-06-06,Online
2018,153,22,16,19259.77,2025-04-19,CDMX Norte
3797,657,54,8,8573.39,2024-02-28,Monterrey
2161,861,60,12,8512.2,2024-03-30,Monterrey
1212,304,323,2,12961.94,2024-11-12,Guadalajara
2425,327,219,7,14042.08,2026-05-03,Monterrey
175,57255,250,13,5640.77,2024-01-16,Guadalajara
2934,650,252,7,7651.5,2025-04-01,Toluca Centro
4129,291,264,5,2904.66,2024-12-22,Puebla
451,51249,316,13,11114.87,2024-06-20,Toluca Centro
195,668,405,-20,13456.0,2025-05-21,Toluca Centro
3888,156,392,18,22805.87,2025-03-03,Metepec
4250,618,63,1,21370.97,2025-11-11,Metepec
